xlsx_row,source_no,hunt_code_cell,hunt_code_count,mapped_code_count,geojson_code_count,row_mapping_status,boundary_ids,member_boundary_ids,geometry_statuses,boundary_geojson_paths,dwr_boundary_links,species,sex,hunt_name,weapon,organization,permits
260,259,PB5013|PB5042|PB5062,3,3,3,multi_candidate_all_mapped,636,,mapped,processed_data/boundaries/PB5013.geojson|processed_data/boundaries/PB5042.geojson|processed_data/boundaries/PB5062.geojson,,Pronghorn,Buck,Pine Valley,Any Legal Weapon,SFW,1
261,260,PB5015|PB5046|PB5056,3,3,3,multi_candidate_all_mapped,194,,mapped,processed_data/boundaries/PB5015.geojson|processed_data/boundaries/PB5046.geojson|processed_data/boundaries/PB5056.geojson,,Pronghorn,Buck,"San Rafael, North",Any Legal Weapon,NWTF,1
262,261,PB5015|PB5046|PB5056,3,3,3,multi_candidate_all_mapped,194,,mapped,processed_data/boundaries/PB5015.geojson|processed_data/boundaries/PB5046.geojson|processed_data/boundaries/PB5056.geojson,,Pronghorn,Buck,"San Rafael, North",Any Legal Weapon,NWTF,1
263,262,PB5015|PB5046|PB5056,3,3,3,multi_candidate_all_mapped,194,,mapped,processed_data/boundaries/PB5015.geojson|processed_data/boundaries/PB5046.geojson|processed_data/boundaries/PB5056.geojson,,Pronghorn,Buck,"San Rafael, North",Any Legal Weapon,SFW,1
264,263,PB5015|PB5046|PB5056,3,3,3,multi_candidate_all_mapped,194,,mapped,processed_data/boundaries/PB5015.geojson|processed_data/boundaries/PB5046.geojson|processed_data/boundaries/PB5056.geojson,,Pronghorn,Buck,"San Rafael, North",Any Legal Weapon,NWTF,1
265,264,PB5015|PB5046|PB5056,3,3,3,multi_candidate_all_mapped,194,,mapped,processed_data/boundaries/PB5015.geojson|processed_data/boundaries/PB5046.geojson|processed_data/boundaries/PB5056.geojson,,Pronghorn,Buck,"San Rafael, North",Any Legal Weapon,SFW,1
266,265,PB5018|PB5024|PB5049,3,3,3,multi_candidate_all_mapped,625,,mapped,processed_data/boundaries/PB5018.geojson|processed_data/boundaries/PB5024.geojson|processed_data/boundaries/PB5049.geojson,,Pronghorn,Buck,Southwest Desert,Any Legal Weapon,DSC,1
267,266,PB5018|PB5024|PB5049,3,3,3,multi_candidate_all_mapped,625,,mapped,processed_data/boundaries/PB5018.geojson|processed_data/boundaries/PB5024.geojson|processed_data/boundaries/PB5049.geojson,,Pronghorn,Buck,Southwest Desert,Any Legal Weapon,UAA,1
268,267,PB5018|PB5024|PB5049,3,3,3,multi_candidate_all_mapped,625,,mapped,processed_data/boundaries/PB5018.geojson|processed_data/boundaries/PB5024.geojson|processed_data/boundaries/PB5049.geojson,,Pronghorn,Buck,Southwest Desert,Any Legal Weapon,NWTF,1
269,268,PB5018|PB5024|PB5049,3,3,3,multi_candidate_all_mapped,625,,mapped,processed_data/boundaries/PB5018.geojson|processed_data/boundaries/PB5024.geojson|processed_data/boundaries/PB5049.geojson,,Pronghorn,Buck,Southwest Desert,Any Legal Weapon,MDF,1
