source_file,page_number,hunt_code,hunt_name,year,residency,points,eligible_applicants,bonus_permits,regular_permits,total_permits,success_ratio
25_bg-odds.pdf,338,EB3199,Limited-entry Archery Bull Elk - Late - Wasatch Mtns - Archery,2025,Resident,11,0,0,0,0,N/A
25_bg-odds.pdf,338,EB3199,Limited-entry Archery Bull Elk - Late - Wasatch Mtns - Archery,2025,Nonresident,11,1,0,1,1,1 in 1.0
25_bg-odds.pdf,338,EB3199,Limited-entry Archery Bull Elk - Late - Wasatch Mtns - Archery,2025,Resident,10,0,0,0,0,N/A
25_bg-odds.pdf,338,EB3199,Limited-entry Archery Bull Elk - Late - Wasatch Mtns - Archery,2025,Nonresident,10,0,0,0,0,N/A
25_bg-odds.pdf,338,EB3199,Limited-entry Archery Bull Elk - Late - Wasatch Mtns - Archery,2025,Resident,9,0,0,0,0,N/A
25_bg-odds.pdf,338,EB3199,Limited-entry Archery Bull Elk - Late - Wasatch Mtns - Archery,2025,Nonresident,9,0,0,0,0,N/A
25_bg-odds.pdf,338,EB3199,Limited-entry Archery Bull Elk - Late - Wasatch Mtns - Archery,2025,Resident,8,0,0,0,0,N/A
25_bg-odds.pdf,338,EB3199,Limited-entry Archery Bull Elk - Late - Wasatch Mtns - Archery,2025,Nonresident,8,0,0,0,0,N/A
25_bg-odds.pdf,338,EB3199,Limited-entry Archery Bull Elk - Late - Wasatch Mtns - Archery,2025,Resident,7,0,0,0,0,N/A
25_bg-odds.pdf,338,EB3199,Limited-entry Archery Bull Elk - Late - Wasatch Mtns - Archery,2025,Nonresident,7,0,0,0,0,N/A
25_bg-odds.pdf,338,EB3199,Limited-entry Archery Bull Elk - Late - Wasatch Mtns - Archery,2025,Resident,6,1,1,0,1,1 in 1.0
25_bg-odds.pdf,338,EB3199,Limited-entry Archery Bull Elk - Late - Wasatch Mtns - Archery,2025,Nonresident,6,0,0,0,0,N/A
25_bg-odds.pdf,338,EB3199,Limited-entry Archery Bull Elk - Late - Wasatch Mtns - Archery,2025,Resident,5,3,3,0,3,1 in 1.0
25_bg-odds.pdf,338,EB3199,Limited-entry Archery Bull Elk - Late - Wasatch Mtns - Archery,2025,Nonresident,5,0,0,0,0,N/A
25_bg-odds.pdf,338,EB3199,Limited-entry Archery Bull Elk - Late - Wasatch Mtns - Archery,2025,Resident,4,4,0,3,3,1 in 1.3
25_bg-odds.pdf,338,EB3199,Limited-entry Archery Bull Elk - Late - Wasatch Mtns - Archery,2025,Nonresident,4,2,0,0,0,N/A
25_bg-odds.pdf,338,EB3199,Limited-entry Archery Bull Elk - Late - Wasatch Mtns - Archery,2025,Resident,3,2,0,0,0,N/A
25_bg-odds.pdf,338,EB3199,Limited-entry Archery Bull Elk - Late - Wasatch Mtns - Archery,2025,Nonresident,3,1,0,0,0,N/A
25_bg-odds.pdf,338,EB3199,Limited-entry Archery Bull Elk - Late - Wasatch Mtns - Archery,2025,Resident,2,2,0,0,0,N/A
