hunt_code,prefix,present_report_year_2020,source_count_report_year_2020,present_report_year_2021,source_count_report_year_2021,present_report_year_2022,source_count_report_year_2022,present_report_year_2023,source_count_report_year_2023,present_report_year_2024,source_count_report_year_2024,present_report_year_2025,source_count_report_year_2025,present_report_year_2026,source_count_report_year_2026
DB1201,DB,YES,2,YES,2,YES,2,YES,2,YES,2,YES,2,YES,1
DB1202,DB,YES,2,YES,2,YES,2,YES,2,YES,2,YES,2,YES,1
DB1203,DB,YES,2,YES,2,YES,2,YES,2,YES,2,YES,2,YES,1
DB1204,DB,YES,2,YES,2,YES,2,YES,2,YES,2,YES,2,YES,1
DB1205,DB,YES,2,YES,2,YES,2,YES,2,YES,2,YES,2,YES,1
DB1206,DB,YES,2,YES,2,YES,2,YES,2,YES,2,YES,2,YES,1
DB1207,DB,YES,2,YES,2,YES,2,YES,2,YES,2,YES,2,YES,1
DB1208,DB,YES,2,NO,0,NO,0,YES,2,YES,2,YES,2,YES,1
DB1209,DB,YES,2,YES,2,YES,2,YES,2,YES,2,YES,2,YES,1
DB1210,DB,YES,2,YES,2,NO,0,NO,0,NO,0,NO,0,NO,0
