year,model_year,hunt_code,hunt_name,species,hunt_type,draw_design,residency,point_level,applicants,bonus_permits,regular_permits,permits,success_ratio,success_rate,record_type,source_file,source_scope,source_pdf_page,point_label
2021,2022,DB1001,Premium Le Archery Buck Deer - Paunsaugunt - Archery,DEER,L.E.,BONUS_POINT,Nonresident,12,64,0,0,0,N/A,,point_level_draw_result,21_bg-odds.pdf,BG_PARENT,4,Bonus Points
2021,2022,DB1001,Premium Le Archery Buck Deer - Paunsaugunt - Archery,DEER,L.E.,BONUS_POINT,Resident,11,66,0,3,3,1 in 22.0,4.54545455,point_level_draw_result,21_bg-odds.pdf,BG_PARENT,4,Bonus Points
2021,2022,DB1001,Premium Le Archery Buck Deer - Paunsaugunt - Archery,DEER,L.E.,BONUS_POINT,Nonresident,11,47,0,0,0,N/A,,point_level_draw_result,21_bg-odds.pdf,BG_PARENT,4,Bonus Points
2021,2022,DB1001,Premium Le Archery Buck Deer - Paunsaugunt - Archery,DEER,L.E.,BONUS_POINT,Resident,10,48,0,1,1,1 in 48.0,2.08333333,point_level_draw_result,21_bg-odds.pdf,BG_PARENT,4,Bonus Points
2021,2022,DB1001,Premium Le Archery Buck Deer - Paunsaugunt - Archery,DEER,L.E.,BONUS_POINT,Nonresident,10,33,0,0,0,N/A,,point_level_draw_result,21_bg-odds.pdf,BG_PARENT,4,Bonus Points
2021,2022,DB1001,Premium Le Archery Buck Deer - Paunsaugunt - Archery,DEER,L.E.,BONUS_POINT,Resident,9,59,0,0,0,N/A,,point_level_draw_result,21_bg-odds.pdf,BG_PARENT,4,Bonus Points
2021,2022,DB1001,Premium Le Archery Buck Deer - Paunsaugunt - Archery,DEER,L.E.,BONUS_POINT,Nonresident,9,40,0,0,0,N/A,,point_level_draw_result,21_bg-odds.pdf,BG_PARENT,4,Bonus Points
2021,2022,DB1001,Premium Le Archery Buck Deer - Paunsaugunt - Archery,DEER,L.E.,BONUS_POINT,Resident,8,52,0,0,0,N/A,,point_level_draw_result,21_bg-odds.pdf,BG_PARENT,4,Bonus Points
2021,2022,DB1001,Premium Le Archery Buck Deer - Paunsaugunt - Archery,DEER,L.E.,BONUS_POINT,Nonresident,8,40,0,0,0,N/A,,point_level_draw_result,21_bg-odds.pdf,BG_PARENT,4,Bonus Points
2021,2022,DB1001,Premium Le Archery Buck Deer - Paunsaugunt - Archery,DEER,L.E.,BONUS_POINT,Resident,7,62,0,1,1,1 in 62.0,1.61290323,point_level_draw_result,21_bg-odds.pdf,BG_PARENT,4,Bonus Points
2021,2022,DB1001,Premium Le Archery Buck Deer - Paunsaugunt - Archery,DEER,L.E.,BONUS_POINT,Nonresident,7,52,0,0,0,N/A,,point_level_draw_result,21_bg-odds.pdf,BG_PARENT,4,Bonus Points
2021,2022,DB1001,Premium Le Archery Buck Deer - Paunsaugunt - Archery,DEER,L.E.,BONUS_POINT,Resident,6,38,0,1,1,1 in 38.0,2.63157895,point_level_draw_result,21_bg-odds.pdf,BG_PARENT,4,Bonus Points
2021,2022,DB1001,Premium Le Archery Buck Deer - Paunsaugunt - Archery,DEER,L.E.,BONUS_POINT,Nonresident,6,47,0,1,1,1 in 47.0,2.12765957,point_level_draw_result,21_bg-odds.pdf,BG_PARENT,4,Bonus Points
2021,2022,DB1001,Premium Le Archery Buck Deer - Paunsaugunt - Archery,DEER,L.E.,BONUS_POINT,Resident,5,67,0,0,0,N/A,,point_level_draw_result,21_bg-odds.pdf,BG_PARENT,4,Bonus Points
