"source","year","title","status","bytes","file","url","error"
"utah_wildlife_biggame_odds_archive","2018","2018 youth general-season deer drawing odds report","ok","466433","older_years_biggame_odds/2018/18_youth_general_deer.pdf","https://wildlife.utah.gov/pdf/bg/2018/18_youth_general_deer.pdf",""
"utah_wildlife_biggame_odds_archive","2018","2018 youth any bull elk drawing odds report","ok","73213","older_years_biggame_odds/2018/18_youth_any_bull_elk__dup2.pdf","https://wildlife.utah.gov/pdf/bg/2018/18_youth_any_bull_elk.pdf",""
"utah_wildlife_biggame_odds_archive","2018","2018 antlerless drawing odds report","ok","862171","older_years_biggame_odds/2018/18_antlerless_drawing_odds_report.pdf","https://wildlife.utah.gov/pdf/bg/2018/18_antlerless_drawing_odds_report.pdf",""
"utah_wildlife_biggame_odds_archive","2018","2018 youth antlerless drawing odds report","ok","762576","older_years_biggame_odds/2018/18_youth_antlerless_drawing_odds_report.pdf","https://wildlife.utah.gov/pdf/bg/2018/18_youth_antlerless_drawing_odds_report.pdf",""
"utah_wildlife_biggame_odds_archive","2018","2018 sportsman drawing odds report","ok","37696","older_years_biggame_odds/2018/2018_sportsman_odds.pdf","https://wildlife.utah.gov/pdf/bg/2018/2018_sportsman_odds.pdf",""
"utah_wildlife_biggame_odds_archive","2017","2017 sportsman drawing odds report","ok","16166","older_years_biggame_odds/2017/2017_sportsman_odds.pdf","https://wildlife.utah.gov/pdf/bg/2017/2017_sportsman_odds.pdf",""
"utah_wildlife_biggame_odds_archive","2017","2017 big game drawing odds report","ok","1869453","older_years_biggame_odds/2017/17_big_game_odds_report.pdf","https://wildlife.utah.gov/pdf/bg/2017/17_big_game_odds_report.pdf",""
"utah_wildlife_biggame_odds_archive","2017","2017 preference point summary by residency and species","ok","97777","older_years_biggame_odds/2017/17_point_summary.pdf","https://wildlife.utah.gov/pdf/bg/2017/17_point_summary.pdf",""
"utah_wildlife_biggame_odds_archive","2017","2017 general-season deer preference point purchase, bonus points, drawing odds report","ok","380681","older_years_biggame_odds/2017/17_general_deer.pdf","https://wildlife.utah.gov/pdf/bg/2017/17_general_deer.pdf",""
"utah_wildlife_biggame_odds_archive","2017","2017 dedicated hunter preference point purchase, bonus points, drawing odds report","ok","194809","older_years_biggame_odds/2017/17_dedicated_hunter_deer.pdf","https://wildlife.utah.gov/pdf/bg/2017/17_dedicated_hunter_deer.pdf",""
"utah_wildlife_biggame_odds_archive","2017","2017 lifetime general-season deer permit drawing odds report","ok","370735","older_years_biggame_odds/2017/17_lifetime_general_deer.pdf","https://wildlife.utah.gov/pdf/bg/2017/17_lifetime_general_deer.pdf",""
"utah_wildlife_biggame_odds_archive","2017","2017 youth general-season deer preference point purchase, bonus points, drawing odds report","ok","369005","older_years_biggame_odds/2017/17_youth_general_deer.pdf","https://wildlife.utah.gov/pdf/bg/2017/17_youth_general_deer.pdf",""
"utah_wildlife_biggame_odds_archive","2017","2017 youth any bull elk drawing odds report","ok","84039","older_years_biggame_odds/2017/17_youth_any_bull_elk.pdf","https://wildlife.utah.gov/pdf/bg/2017/17_youth_any_bull_elk.pdf",""
"utah_wildlife_biggame_odds_archive","2017","2017 antlerless preference point draw results","ok","765701","older_years_biggame_odds/2017/17_antlerless_points.pdf","https://wildlife.utah.gov/pdf/bg/2017/17_antlerless_points.pdf",""
"utah_wildlife_biggame_odds_archive","2017","2017 antlerless bonus point draw results","ok","79011","older_years_biggame_odds/2017/17_antlerless_bonus_point_draw.pdf","https://wildlife.utah.gov/pdf/bg/2017/17_antlerless_bonus_point_draw.pdf",""
"utah_wildlife_biggame_odds_archive","2017","2017 antlerless bonus point purchase results","ok","68888","older_years_biggame_odds/2017/17_antlerless_bonus_point_purchase.pdf","https://wildlife.utah.gov/pdf/bg/2017/17_antlerless_bonus_point_purchase.pdf",""
"utah_wildlife_biggame_odds_archive","2017","2017 antlerless youth preference point draw results","ok","704694","older_years_biggame_odds/2017/17_antlerless_youth_points.pdf","https://wildlife.utah.gov/pdf/bg/2017/17_antlerless_youth_points.pdf",""
"utah_wildlife_biggame_odds_archive","2017","2017 antlerless youth bonus point draw results","ok","74203","older_years_biggame_odds/2017/17_antlerless_youth_bonus_point_draw.pdf","https://wildlife.utah.gov/pdf/bg/2017/17_antlerless_youth_bonus_point_draw.pdf",""
"utah_wildlife_biggame_odds_archive","2016","2016 sportsman drawing odds report","ok","16185","older_years_biggame_odds/2016/2016_sportsman_odds.pdf","https://wildlife.utah.gov/pdf/bg/2016/2016_sportsman_odds.pdf",""
"utah_wildlife_biggame_odds_archive","2016","2016 big game drawing odds report","ok","1848125","older_years_biggame_odds/2016/16_big_game_odds_report.pdf","https://wildlife.utah.gov/pdf/bg/2016/16_big_game_odds_report.pdf",""
"utah_wildlife_biggame_odds_archive","2016","2016 general-season deer preference point purchase, bonus points, drawing odds report","ok","299525","older_years_biggame_odds/2016/16_general_deer.pdf","https://wildlife.utah.gov/pdf/bg/2016/16_general_deer.pdf",""
"utah_wildlife_biggame_odds_archive","2016","2016 preference point summary by residency and species","ok","20913","older_years_biggame_odds/2016/16_point_summary.pdf","https://wildlife.utah.gov/pdf/bg/2016/16_point_summary.pdf",""
"utah_wildlife_biggame_odds_archive","2016","2016 lifetime general-season deer permit drawing odds report","ok","273321","older_years_biggame_odds/2016/16_lifetime_general_deer.pdf","https://wildlife.utah.gov/pdf/bg/2016/16_lifetime_general_deer.pdf",""
"utah_wildlife_biggame_odds_archive","2016","2016 dedicated hunter preference point purchase, bonus points, drawing odds report","ok","117386","older_years_biggame_odds/2016/16_dedicated_hunter_deer.pdf","https://wildlife.utah.gov/pdf/bg/2016/16_dedicated_hunter_deer.pdf",""
"utah_wildlife_biggame_odds_archive","2016","2016 youth any bull elk drawing odds report","ok","45220","older_years_biggame_odds/2016/16_youth_any_bull_elk.pdf","https://wildlife.utah.gov/pdf/bg/2016/16_youth_any_bull_elk.pdf",""
"utah_wildlife_biggame_odds_archive","2016","2016 antlerless drawing odds report","ok","69020","older_years_biggame_odds/2016/16_antlerless_report.pdf","https://wildlife.utah.gov/pdf/bg/2016/16_antlerless_report.pdf",""
"utah_wildlife_biggame_odds_archive","2016","2016 antlerless preference point draw results","ok","648137","older_years_biggame_odds/2016/16_antlerless_points.pdf","https://wildlife.utah.gov/pdf/bg/2016/16_antlerless_points.pdf",""
"utah_wildlife_biggame_odds_archive","2016","2016 antlerless bonus point draw results","ok","25980","older_years_biggame_odds/2016/16_antlerless_bonus_point_draw.pdf","https://wildlife.utah.gov/pdf/bg/2016/16_antlerless_bonus_point_draw.pdf",""
"utah_wildlife_biggame_odds_archive","2016","2016 antlerless bonus point purchase results","ok","20280","older_years_biggame_odds/2016/16_antlerless_bonus_point_purchase.pdf","https://wildlife.utah.gov/pdf/bg/2016/16_antlerless_bonus_point_purchase.pdf",""
"utah_wildlife_biggame_odds_archive","2015","2015 big game drawing odds report","ok","3433494","older_years_biggame_odds/2015/15_big_game_odds_report.pdf","https://wildlife.utah.gov/pdf/bg/2015/15_big_game_odds_report.pdf",""
"utah_wildlife_biggame_odds_archive","2015","2015 general-season deer preference point purchase, bonus points, drawing odds report","ok","306032","older_years_biggame_odds/2015/15_general_deer.pdf","https://wildlife.utah.gov/pdf/bg/2015/15_general_deer.pdf",""
"utah_wildlife_biggame_odds_archive","2015","2015 preference point summary by residency and species","ok","17739","older_years_biggame_odds/2015/15_point_summary.pdf","https://wildlife.utah.gov/pdf/bg/2015/15_point_summary.pdf",""
"utah_wildlife_biggame_odds_archive","2015","2015 lifetime general-season deer permit drawing odds report","ok","299301","older_years_biggame_odds/2015/15_lifetime_general_deer.pdf","https://wildlife.utah.gov/pdf/bg/2015/15_lifetime_general_deer.pdf",""
"utah_wildlife_biggame_odds_archive","2015","2015 dedicated hunter preference point purchase, bonus points, drawing odds report","ok","123562","older_years_biggame_odds/2015/15_dedicated_hunter_deer.pdf","https://wildlife.utah.gov/pdf/bg/2015/15_dedicated_hunter_deer.pdf",""
"utah_wildlife_biggame_odds_archive","2015","2015 youth any bull elk drawing odds report","ok","18543","older_years_biggame_odds/2015/15_youth_any_bull_elk.pdf","https://wildlife.utah.gov/pdf/bg/2015/15_youth_any_bull_elk.pdf",""
